County Name,Census Tract,Count,Population,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,IBL Ranking
Grays Harbor,53027000400,116,34235,202.73,167.05,248.73,7
Grays Harbor,53027000500,73,34637,182.82,142.61,232.73,5
Grays Harbor,53027000600,60,18949,216,163.03,285.48,7
Grays Harbor,53027000700,69,22408,240.36,184.62,311.26,8
Grays Harbor,53027000800,66,19743,182.5,139.36,242.31,5
Grays Harbor,53027000900,102,31203,249.98,203.3,306.34,9
Grays Harbor,53027001000,48,17873,284.15,207.73,381.32,10
Grays Harbor,53027001100,59,21383,143.83,107.31,196.65,3
Grays Harbor,53027001200,52,22128,231.72,171.05,309.17,8
Grays Harbor,53027001300,72,17200,278.48,215.33,359.3,10
Grays Harbor,53027001400,30,10226,209.94,139.07,314.83,7
Grays Harbor,53027001500,81,19549,250.72,194.78,322.16,9
Grays Harbor,53027001600,94,33535,187.33,150.52,239.65,6
Grays Harbor,53027940000,14,6234,692.01 (NR),214.12 (NR),1811.66 (NR),10
Grays Harbor,53027990000,0,0,0 (NR),0 (NR),0 (NR),1
Island,53029970100,38,13853,193.68,135.48,280.95,6
Island,53029970200,**,10439,**,**,**,10
Island,53029970300,68,25614,179.24,136.64,236.92,5
Island,53029970400,56,31474,171.43,128.85,225.12,5
Island,53029970500,61,28637,139.55,104.59,186.69,2
Island,53029970601,38,16424,182.44,126.72,260.91,5
Island,53029970602,87,17382,200.7,149.89,272.75,6
Island,53029970700,29,10116,163.81,103.57,269.56,4
Island,53029970800,31,13915,141.14,92.56,216.54,3
Island,53029970900,**,24142,**,**,**,9
Island,53029971000,109,25503,188.44,151.66,240.37,6
Island,53029971100,63,17658,157.75,117.85,226.35,4
Island,53029971300,66,24364,111.53,83.82,164.15,1
Island,53029971400,57,24081,138.97,102.2,198.45,2
Island,53029971500,56,18656,161.78,118.07,234.33,4
Island,53029971600,63,20543,188.1,143.7,249.11,6
Island,53029971700,71,22148,154.69,119.1,209.65,3
Island,53029971800,49,13746,139.97,100.05,233.27,2
Island,53029971900,92,20785,162.3,120.63,230.66,4
Island,53029972000,68,21534,151.05,113.99,210.37,3
Island,53029972100,38,18897,102.62,71.56,159.24,1
Island,53029992201,0,0,0 (NR),0 (NR),0 (NR),1
Jefferson,53031950202,25,9618,130.25,82.44,242.6,2
Jefferson,53031950300,108,32914,121.36,98.22,163.55,2
Jefferson,53031950400,61,20565,143.51,108.24,196.02,3
Jefferson,53031950500,118,34853,144.9,118.58,186.14,3
Jefferson,53031950601,166,33081,172.98,144.4,213.67,5
Jefferson,53031950602,42,15902,128.97,91.18,196.37,2
Jefferson,53031950702,24,11197,109.48,68.64,214.58,1
Jefferson,53031990000,0,0,0 (NR),0 (NR),0 (NR),1
King,53033000100,83,39881,239.01,188.95,299.97,8
King,53033000200,71,41940,137.52,107.32,176.73,2
King,53033000300,19,14151,238.27,132.14,402.2,8
King,53033000401,90,32252,174.18,139.09,223.21,5
King,53033000402,121,26188,119.12,91.18,162.98,1
King,53033000500,40,16721,123.98,88.06,184.95,2
King,53033000600,77,40691,153.08,120.15,195.22,3
King,53033000700,48,26762,237.78,174.28,321.55,8
King,53033000800,26,13513,149.82,96.92,229.79,3
King,53033000900,23,10893,143.62,90.54,230.56,3
King,53033001000,13,10249,129.68 (NR),67.91 (NR),232.09 (NR),2
King,53033001100,14,13384,99.86 (NR),54.16 (NR),178.06 (NR),1
King,53033001200,83,38250,153.77,118.07,201.68,3
King,53033001300,32,25082,195.64,131.17,285.21,6
King,53033001400,44,26510,177.85,128.09,243.1,5
King,53033001500,13,13067,80.18 (NR),41.96 (NR),160.07 (NR),1
King,53033001600,53,22589,163.93,122.37,221.63,4
King,53033001701,26,20874,202.78,127.21,312.33,7
King,53033001702,59,25495,235.17,178.1,309.98,8
King,53033001800,13,25383,154.58 (NR),78.35 (NR),276.79 (NR),3
King,53033001900,39,22195,200.41,142.08,278.47,6
King,53033002000,35,18426,165.92,114.36,239.65,4
King,53033002100,40,20089,199.72,142,276.3,6
King,53033002200,58,28931,129.39,98.12,172.39,2
King,53033002400,22,15579,116.67,72.85,184.22,1
King,53033002500,16,14665,109.35 (NR),62.03 (NR),183.68 (NR),1
King,53033002600,28,26137,207.41,132.89,311.48,7
